time,temperature_2m,relativehumidity_2m
2006-12-01 00:00:00,7.9,85
2006-12-01 01:00:00,7.6,86
2006-12-01 02:00:00,6.8,90
2006-12-01 03:00:00,6.3,92
2006-12-01 04:00:00,6.1,92
2006-12-01 05:00:00,5.9,93
2006-12-01 06:00:00,5.6,93
2006-12-01 07:00:00,5.5,92
2006-12-01 08:00:00,5.4,91
2006-12-01 09:00:00,5.6,92
2006-12-01 10:00:00,5.6,91
2006-12-01 11:00:00,6.3,89
2006-12-01 12:00:00,7.5,85
2006-12-01 13:00:00,8.6,81
2006-12-01 14:00:00,9.4,79
2006-12-01 15:00:00,10.0,78
2006-12-01 16:00:00,10.3,78
2006-12-01 17:00:00,10.4,77
2006-12-01 18:00:00,9.9,78
2006-12-01 19:00:00,9.6,80
2006-12-01 20:00:00,9.6,79
2006-12-01 21:00:00,9.6,82
2006-12-01 22:00:00,9.6,82
2006-12-01 23:00:00,9.6,81
2006-12-02 00:00:00,9.7,81
2006-12-02 01:00:00,9.6,82
2006-12-02 02:00:00,9.4,83
2006-12-02 03:00:00,9.4,84
2006-12-02 04:00:00,9.4,86
2006-12-02 05:00:00,9.4,86
2006-12-02 06:00:00,9.2,86
2006-12-02 07:00:00,9.3,86
2006-12-02 08:00:00,9.2,86
2006-12-02 09:00:00,9.3,86
2006-12-02 10:00:00,9.4,85
2006-12-02 11:00:00,9.9,84
2006-12-02 12:00:00,10.6,83
2006-12-02 13:00:00,11.5,82
2006-12-02 14:00:00,11.8,82
2006-12-02 15:00:00,12.1,82
2006-12-02 16:00:00,12.1,82
2006-12-02 17:00:00,11.9,83
2006-12-02 18:00:00,11.5,84
2006-12-02 19:00:00,10.8,86
2006-12-02 20:00:00,10.0,90
2006-12-02 21:00:00,9.2,93
2006-12-02 22:00:00,8.4,94
2006-12-02 23:00:00,7.9,95
2006-12-03 00:00:00,7.4,96
2006-12-03 01:00:00,7.0,96
2006-12-03 02:00:00,6.7,96
2006-12-03 03:00:00,6.6,97
2006-12-03 04:00:00,6.7,96
2006-12-03 05:00:00,6.8,96
2006-12-03 06:00:00,7.0,95
2006-12-03 07:00:00,7.3,94
2006-12-03 08:00:00,7.7,94
2006-12-03 09:00:00,8.9,92
2006-12-03 10:00:00,9.0,90
2006-12-03 11:00:00,9.8,87
2006-12-03 12:00:00,10.6,83
2006-12-03 13:00:00,10.6,84
2006-12-03 14:00:00,10.5,86
2006-12-03 15:00:00,10.7,87
2006-12-03 16:00:00,10.9,88
2006-12-03 17:00:00,10.7,88
2006-12-03 18:00:00,10.4,87
2006-12-03 19:00:00,9.7,85
2006-12-03 20:00:00,9.2,83
2006-12-03 21:00:00,8.7,82
2006-12-03 22:00:00,8.4,81
2006-12-03 23:00:00,8.2,81
2006-12-04 00:00:00,8.1,80
2006-12-04 01:00:00,8.1,80
2006-12-04 02:00:00,8.3,80
2006-12-04 03:00:00,8.4,82
2006-12-04 04:00:00,8.6,84
2006-12-04 05:00:00,8.7,88
2006-12-04 06:00:00,9.1,90
2006-12-04 07:00:00,9.5,88
2006-12-04 08:00:00,10.0,87
2006-12-04 09:00:00,10.2,85
2006-12-04 10:00:00,10.4,87
2006-12-04 11:00:00,10.4,91
2006-12-04 12:00:00,10.8,93
2006-12-04 13:00:00,11.9,90
2006-12-04 14:00:00,13.0,87
2006-12-04 15:00:00,13.3,83
2006-12-04 16:00:00,13.5,79
2006-12-04 17:00:00,13.2,78
2006-12-04 18:00:00,12.4,80
2006-12-04 19:00:00,12.4,82
2006-12-04 20:00:00,13.0,85
2006-12-04 21:00:00,13.1,91
2006-12-04 22:00:00,13.4,91
2006-12-04 23:00:00,13.6,90
2006-12-05 00:00:00,13.6,89
2006-12-05 01:00:00,13.4,87
2006-12-05 02:00:00,13.2,85
2006-12-05 03:00:00,13.2,83
2006-12-05 04:00:00,13.2,81
2006-12-05 05:00:00,13.2,81
2006-12-05 06:00:00,13.2,81
2006-12-05 07:00:00,13.1,81
2006-12-05 08:00:00,13.1,80
2006-12-05 09:00:00,13.4,79
2006-12-05 10:00:00,13.3,81
2006-12-05 11:00:00,13.9,81
2006-12-05 12:00:00,14.5,79
2006-12-05 13:00:00,15.0,78
2006-12-05 14:00:00,15.2,79
2006-12-05 15:00:00,15.6,77
2006-12-05 16:00:00,15.6,76
2006-12-05 17:00:00,15.2,77
2006-12-05 18:00:00,14.2,84
2006-12-05 19:00:00,12.9,90
2006-12-05 20:00:00,12.2,91
2006-12-05 21:00:00,11.8,90
2006-12-05 22:00:00,11.1,87
2006-12-05 23:00:00,10.3,85
2006-12-06 00:00:00,9.9,85
2006-12-06 01:00:00,9.7,87
2006-12-06 02:00:00,9.6,88
2006-12-06 03:00:00,9.5,89
2006-12-06 04:00:00,9.4,89
2006-12-06 05:00:00,9.0,90
2006-12-06 06:00:00,8.8,89
2006-12-06 07:00:00,8.6,88
2006-12-06 08:00:00,8.4,86
2006-12-06 09:00:00,8.4,82
2006-12-06 10:00:00,8.2,80
2006-12-06 11:00:00,8.3,79
2006-12-06 12:00:00,8.8,78
2006-12-06 13:00:00,9.5,74
2006-12-06 14:00:00,9.9,71
2006-12-06 15:00:00,10.4,68
2006-12-06 16:00:00,10.4,67
2006-12-06 17:00:00,10.0,68
2006-12-06 18:00:00,9.2,71
2006-12-06 19:00:00,8.5,74
2006-12-06 20:00:00,7.9,76
2006-12-06 21:00:00,7.7,79
2006-12-06 22:00:00,7.0,82
2006-12-06 23:00:00,6.4,85
2006-12-07 00:00:00,5.9,88
2006-12-07 01:00:00,5.6,90
2006-12-07 02:00:00,5.4,90
2006-12-07 03:00:00,5.3,90
2006-12-07 04:00:00,5.4,90
2006-12-07 05:00:00,5.9,88
2006-12-07 06:00:00,6.4,86
2006-12-07 07:00:00,6.9,84
2006-12-07 08:00:00,7.6,82
2006-12-07 09:00:00,8.7,82
2006-12-07 10:00:00,8.9,84
2006-12-07 11:00:00,9.1,88
2006-12-07 12:00:00,9.3,90
2006-12-07 13:00:00,9.8,90
2006-12-07 14:00:00,10.3,90
2006-12-07 15:00:00,10.8,91
2006-12-07 16:00:00,11.5,89
2006-12-07 17:00:00,11.6,88
2006-12-07 18:00:00,11.2,89
2006-12-07 19:00:00,10.9,89
2006-12-07 20:00:00,10.9,88
2006-12-07 21:00:00,11.1,87
2006-12-07 22:00:00,10.9,87
2006-12-07 23:00:00,10.8,87
2006-12-08 00:00:00,10.7,88
2006-12-08 01:00:00,10.5,90
2006-12-08 02:00:00,10.3,93
2006-12-08 03:00:00,9.9,93
2006-12-08 04:00:00,9.7,95
2006-12-08 05:00:00,9.7,96
2006-12-08 06:00:00,9.9,95
2006-12-08 07:00:00,10.1,92
2006-12-08 08:00:00,10.7,91
2006-12-08 09:00:00,11.7,86
2006-12-08 10:00:00,12.1,86
2006-12-08 11:00:00,12.3,83
2006-12-08 12:00:00,12.4,81
2006-12-08 13:00:00,11.5,79
2006-12-08 14:00:00,10.1,79
2006-12-08 15:00:00,8.1,81
2006-12-08 16:00:00,7.7,80
2006-12-08 17:00:00,7.9,79
2006-12-08 18:00:00,7.7,77
2006-12-08 19:00:00,7.5,77
2006-12-08 20:00:00,7.4,76
2006-12-08 21:00:00,7.8,78
2006-12-08 22:00:00,7.7,80
2006-12-08 23:00:00,7.4,84
2006-12-09 00:00:00,7.1,88
2006-12-09 01:00:00,6.9,90
2006-12-09 02:00:00,6.4,90
2006-12-09 03:00:00,6.0,91
2006-12-09 04:00:00,5.5,92
2006-12-09 05:00:00,5.0,93
2006-12-09 06:00:00,4.6,94
2006-12-09 07:00:00,4.3,94
2006-12-09 08:00:00,4.0,94
2006-12-09 09:00:00,3.6,94
2006-12-09 10:00:00,3.6,94
2006-12-09 11:00:00,4.6,93
2006-12-09 12:00:00,6.0,89
2006-12-09 13:00:00,7.2,84
2006-12-09 14:00:00,7.9,81
2006-12-09 15:00:00,8.2,78
2006-12-09 16:00:00,8.4,78
2006-12-09 17:00:00,7.7,80
2006-12-09 18:00:00,6.9,85
2006-12-09 19:00:00,5.8,89
2006-12-09 20:00:00,5.0,92
2006-12-09 21:00:00,4.5,93
2006-12-09 22:00:00,4.1,94
2006-12-09 23:00:00,3.6,95
2006-12-10 00:00:00,3.1,95
2006-12-10 01:00:00,2.9,95
2006-12-10 02:00:00,2.3,96
2006-12-10 03:00:00,2.0,96
2006-12-10 04:00:00,1.5,96
2006-12-10 05:00:00,1.1,98
2006-12-10 06:00:00,0.5,98
2006-12-10 07:00:00,0.0,98
